,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
20,20,12438,13527,0-0,1-0,Ad-40,0-0,2,Nishioka,Nakashima,1,0,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
21,21,13528,14117,0-0,2-0,0-0,0-15,1,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
22,22,14118,15092,0-0,2-0,0-15,15-15,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
23,23,15093,15646,0-0,2-0,15-15,30-15,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
24,24,15647,16113,0-0,2-0,30-15,40-15,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
25,25,16114,16903,0-0,2-0,40-15,40-30,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
26,26,16904,17708,0-0,2-0,40-30,40-40,1,Nakashima,Nishioka,0,1,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
27,27,17709,18478,0-0,2-0,40-40,40-Ad,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
28,28,18479,22190,0-0,2-0,40-Ad,0-0,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
29,29,22191,22899,0-0,2-1,0-0,15-0,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
30,30,22900,24125,0-0,2-1,15-0,15-15,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
31,31,24126,24407,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
32,32,24408,25298,0-0,2-1,15-15,30-15,2,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
33,33,25299,25571,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
34,34,25572,26123,0-0,2-1,30-15,40-15,2,Nishioka,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
35,35,26124,26703,0-0,2-1,40-15,40-30,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
36,36,26704,27091,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
37,37,27092,28604,0-0,2-1,40-30,0-0,2,Nishioka,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
38,38,28605,28804,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
39,39,28805,29264,0-0,3-1,0-0,15-0,2,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
40,40,29265,29563,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
41,41,29564,30126,0-0,3-1,15-0,15-15,2,Nakashima,Nishioka,0,1,ダブルフォルト,2,0,0,0,0,0,0,0,0,0,0
42,42,30127,30967,0-0,3-1,15-15,15-30,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
43,43,30968,31706,0-0,3-1,15-30,30-30,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
44,44,31707,32668,0-0,3-1,30-30,30-40,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
45,45,32669,33533,0-0,3-1,30-40,40-40,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
46,46,33534,34203,0-0,3-1,40-40,Ad-40,1,Nakashima,Nakashima,1,0,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
47,47,34204,34575,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
48,48,34576,35255,0-0,3-1,Ad-40,40-40,2,Nakashima,Nishioka,0,1,ダブルフォルト,2,0,0,0,0,0,0,0,0,0,0
49,49,35256,36014,0-0,3-1,40-40,Ad-40,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
50,50,36015,36364,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
51,51,36365,37037,0-0,3-1,Ad-40,40-40,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
52,52,37038,37867,0-0,3-1,40-40,Ad-40,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
53,53,37868,38775,0-0,3-1,Ad-40,40-40,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
54,54,38776,39333,0-0,3-1,40-40,Ad-40,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
55,55,39334,40114,0-0,3-1,Ad-40,40-40,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
56,56,40115,40386,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
57,57,40387,41619,0-0,3-1,40-40,40-Ad,2,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
58,58,41620,42319,0-0,3-1,40-Ad,40-40,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
59,59,42320,43124,0-0,3-1,40-40,Ad-40,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
60,60,43125,47141,0-0,3-1,Ad-40,0-0,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
61,61,47142,47877,0-0,4-1,0-0,0-15,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
62,62,47878,48357,0-0,4-1,0-15,15-15,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
63,63,48358,48855,0-0,4-1,15-15,15-30,1,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
64,64,48856,49518,0-0,4-1,15-30,15-40,1,Nishioka,Nishioka,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
65,65,49519,50921,0-0,4-1,15-40,0-0,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
66,66,50922,51608,0-0,4-2,0-0,0-15,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
67,67,51609,52326,0-0,4-2,0-15,15-15,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
68,68,52327,52629,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
69,69,52630,53303,0-0,4-2,15-15,30-15,2,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
70,70,53304,54228,0-0,4-2,30-15,40-15,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
71,71,54229,55097,0-0,4-2,40-15,40-30,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
72,72,55098,55850,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
73,73,55851,56656,0-0,4-2,40-30,40-40,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
74,74,56657,56991,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
75,75,56992,59336,0-0,4-2,40-40,40-Ad,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
76,76,59337,59792,0-0,4-2,40-Ad,40-40,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
77,77,59793,60369,0-0,4-2,40-40,Ad-40,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
78,78,60370,66709,0-0,4-2,Ad-40,0-0,1,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
79,79,66710,67348,0-0,5-2,0-0,15-0,1,Nishioka,Nakashima,1,0,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
80,80,67349,67637,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
81,81,67638,68162,0-0,5-2,15-0,15-15,2,Nishioka,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
82,82,68163,68433,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
83,83,68434,69061,0-0,5-2,15-15,15-30,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
84,84,69062,69386,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
85,85,69387,69976,0-0,5-2,15-30,15-40,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
86,86,69977,70881,0-0,5-2,15-40,0-0,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
87,87,70882,71129,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
88,88,71130,71803,0-0,5-3,0-0,15-0,2,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
89,89,71804,72093,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
90,90,72094,72890,0-0,5-3,15-0,15-15,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
91,91,72891,73602,0-0,5-3,15-15,30-15,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
92,92,73603,73894,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
93,93,73895,74774,0-0,5-3,30-15,30-30,2,Nakashima,Nishioka,0,1,ダブルフォルト,2,0,0,0,0,0,0,0,0,0,0
94,94,74775,75014,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
95,95,75015,76829,0-0,5-3,30-30,40-30,2,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
96,96,76830,76929,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
97,97,76930,78248,0-0,5-3,40-30,40-40,2,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
98,98,78249,78510,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
99,99,78511,79069,0-0,5-3,40-40,Ad-40,2,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
100,100,79070,84271,0-0,5-3,Ad-40,0-0,1,Nakashima,Nakashima,1,0,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
101,101,84272,84954,1-0,0-0,0-0,0-15,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
102,102,84955,85521,1-0,0-0,0-15,15-15,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
103,103,85522,86093,1-0,0-0,15-15,15-30,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
104,104,86094,86389,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
105,105,86390,87226,1-0,0-0,15-30,30-30,2,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
106,106,87227,88087,1-0,0-0,30-30,40-30,1,Nishioka,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
107,107,88088,88647,1-0,0-0,40-30,40-40,1,Nishioka,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
108,108,88648,89747,1-0,0-0,40-40,Ad-40,1,Nishioka,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
109,109,89748,90328,1-0,0-0,Ad-40,40-40,1,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
110,110,90329,90932,1-0,0-0,40-40,Ad-40,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
111,111,90933,91591,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
112,112,91592,92248,1-0,0-0,Ad-40,40-40,2,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
113,113,92249,92952,1-0,0-0,40-40,40-Ad,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
114,114,92953,94439,1-0,0-0,40-Ad,0-0,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
115,115,94440,95317,1-0,0-1,0-0,0-15,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
116,116,95318,96114,1-0,0-1,0-15,15-15,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
117,117,96115,96978,1-0,0-1,15-15,30-15,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
118,118,96979,97663,1-0,0-1,30-15,40-15,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
119,119,97664,97923,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
120,120,97924,99068,1-0,0-1,40-15,0-0,2,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
121,121,99069,99856,1-0,1-1,0-0,15-0,1,Nishioka,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
122,122,99857,100394,1-0,1-1,15-0,30-0,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
123,123,100395,100896,1-0,1-1,30-0,30-15,1,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
124,124,100897,101582,1-0,1-1,30-15,30-30,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
125,125,101583,101872,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
126,126,101873,102458,1-0,1-1,30-30,30-40,2,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
127,127,102459,106088,1-0,1-1,30-40,0-0,1,Nishioka,Nishioka,0,1,サービスエース,0,0,0,0,0,0,0,0,0,0,0
128,128,106089,106688,1-0,1-2,0-0,15-0,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
129,129,106689,107727,1-0,1-2,15-0,15-15,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
